#time,accel_x,accel_y,accel_z
206.788140,-12435.459826,7550.100608,-78754.617194
206.790714,4145.153275,7105.977043,-79827.150892
206.793287,-7402.059420,11843.295072,-78448.178995
206.795860,-4441.235652,18505.148550,-76303.111601
206.798433,1924.535449,6809.894666,-79980.369991
206.801007,888.247130,3108.864956,-76303.111601
206.803580,-2516.700203,3256.906145,-78448.178995
206.806153,-7402.059420,19245.354492,-79367.493593
206.808726,-3552.988522,8142.265362,-77528.864398
206.811299,5181.441594,-1776.494261,-78294.959896
206.813873,-15840.407159,11399.171507,-82125.437386
206.816446,-5921.647536,14063.912898,-77835.302597
206.819019,-3849.070898,3701.029710,-78601.398095
206.821592,-12879.583391,24278.754898,-76609.549800
206.824166,24574.837274,-7254.018232,-78754.617194
206.826739,-33309.267390,19393.395680,-78448.178995
206.829312,-8882.471304,-18061.024985,-83504.409282
206.831885,3701.029710,13471.748144,-65884.212828
206.834459,5477.523971,-7698.141797,-85802.695776
206.837032,-3552.988522,17172.777854,-78907.836294
206.839605,-15988.448347,-11991.336260,-90246.049664
206.842178,-16876.695478,19097.313304,-66650.308326
206.844751,38194.626607,-32865.143825,-81512.560987
206.847324,-30200.402434,10807.006753,-87488.105872
206.849897,12139.377449,9918.759623,-74464.482406
206.852471,-6069.688724,-15248.242405,-77375.645298
206.855044,34049.473332,-3552.988522,-81818.999186
206.857617,-18357.107362,7105.977043,-88254.201370
206.860190,17172.777854,8142.265362,-74158.044206
206.862763,-444.123565,-1628.453072,-79673.931792
206.865336,6661.853478,-4145.153275,-80746.465489
206.867909,7105.977043,4737.318029,-74464.482406
206.870483,-4293.194464,3256.906145,-80440.027290
206.873056,6809.894666,1036.288319,-80286.808190
206.875629,-592.164754,-2664.741391,-79980.369991
206.878202,8438.347739,5033.400406,-78601.398095
206.880775,-3849.070898,1776.494261,-84117.285680
206.883348,2960.823768,6809.894666,-77069.207099
206.885921,3552.988522,-4145.153275,-80286.808190
206.888494,11103.089130,-2368.659014,-79827.150892
206.891068,5921.647536,-1480.411884,-80133.589091
206.893641,296.082377,5181.441594,-75077.358804
206.896214,3552.988522,6069.688724,-78754.617194
206.898787,12287.418637,-4293.194464,-81359.341888
206.901360,13471.748144,-6513.812290,-80899.684589
206.903933,-9030.512492,12583.501014,-80286.808190
206.906506,7698.141797,5477.523971,-75690.235202
206.909079,10362.883188,-6513.812290,-77069.207099
